Account,BUSD_0xe9e7cea3dedca5984780bafc599bd69add087d56,dWTI-BUSD_0x3ebd1b7a27dcc113639fce3a063d6083ef0ef56d,dXAU-BUSD_0x95ca57ff396864c25520bc97deaae978daaf73f3,dTMC-BUSD_0xf048897b35963aaed1a241512d26540c7ec42a60,dUSD-BUSD-to-BUSD,dUSD-BUSD-vault-to-BUSD,DUET-dUSD-to-DUET-CAKE_0xbdf0aa1d1985caa357a6ac6661d838da8691c569,DUET-dUSD-vault-to-DUET-CAKE
0xc13cad139d0a54bb496cb05be126fcbff785aeae,133.272154808804000000,0.0,5.349194089402480000,0.0,0.0,0.0,0.0,960.083214960830000000
0x3b410f92ccdfad18477c9b4f325cec96d9dd397f,0.0,0.0,0.557712812169396000,0.0,0.0,0.0,0.0,0.0
0x4ba13102569af816bc3cfbad0c95d478fa3df58c,0.0,2.783540383999180000,0.0,0.0,0.0,0.0,0.0,0.0
0xaa8bdb60ee28e7616bfe4867f58bfe4edf858271,0.0,2.21340431752816000,0.0,0.0,0.0,0.0,0.0,0.0
0x4475d1be974301106036061898b26fd5d62dbf5c,0.0,1.942797704527000000,0.0,0.0,0.0,0.0,0.0,0.0
0xa53c541d155c06a6fc0b0d42ea26ad7414cf547b,1.843331989904990000,1.800095160121950000,0.0,0.0,0.0,0.0,0.0,0.0
0x77f75363faeaae05aa54aae33e19a0c901147c11,0.0,1.686787607385370000,0.0,0.0,0.0,0.0,0.0,0.0
0xf0419ee1156cc75fc0dbaa1906f85782430a5f6e,11.119580890218900000,1.512269595012310000,0.0,0.0,0.0,0.0,0.0,0.0
0x2418c7ff88f10b461566a65d5563c22aba85ab2b,0.0,1.089321289333510000,0.0,0.0,0.0,0.0,0.0,0.0
0x7e497d71fc537a0d859211cbef7cca2fa648f8c1,0.0,0.392520145716080000,0.0,0.0,0.0,0.0,0.0,0.0
0xec04eaefdd9a514964f136bd3e02398ec62ecc24,0.0,0.230271886497572000,0.0,0.0,0.0,0.0,0.0,0.0
0xb22b1187beacfda3fe2a414d0bcb65c2c2d3012e,0.0,0.00000034287503446,0.0,0.0,0.0,0.0,0.0,0.0
0x613d6139eac603587eb97638993692a78aa9c447,4334.786550534810000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xb58c189fad07daf826542ac9f3a3c3a2c5ac4a75,3109.406086213240000000,0.0,0.0,0,0.0,0,0.0,0.0
0xf82ca9d627b15336de5f88dea0a338cd283188a0,981.031513478706000000,0.0,0.0,0.0,91.849203228706000000,10.205467025411800000,0.0,0.0
0x5df89e500d14fbdc01ca39af9e76e76bc46c7a09,960.180677776469000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xa2e2c0ef708ecdeebf7da840f2b38389d19803db,556.210015451470000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x14f4f859281e3f941d5194c1938bbab1290e7dcf,532.522818772014000000,0.0,0.0,0.0,0.000202059286792027,10.194628696466000000,0.0,0.0
0xbf9b490af060529a7f89d155b3d045b896bb646e,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x4b80ef7c6d4c4cdbe28029852ebaf1b88ad2b35d,442.107290969366000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x93f5043925c4d2a28628330820925fe0a82d2b24,200.666500752926000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x3a887cf29012fb8ab4ee196a3eaccdaf57946fa8,106.302679447526000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x7f317b488fd3346a377ef178fde494aa59b044f7,106.065184880120000000,0.0,0.0,0.0,106.065184880120000000,0.0,0.0,0.0
0x2d0c7a0807a21615fb945dd64afde7861dfb9c43,103.256961292433000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x73234a37e49902136eb5318804f195b78cfdea34,100.333250376463000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xca3ab843b1c0665816b45cee77b3a0c1c3338c98,99.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xc04a3df04fe48c261a233e46110b0fdadab1733e,52.9010858,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xd6e65d0a291115fb7319f73c49c1b703d252a7c0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x691d6724e2e956457632b5072b2f0ee826ae0b61,43.946665997643400000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x11ededebf63bef0ea2d2d071bdf88f71543ec6fb,33.2831386825,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xa98d587471b48518163d3d2268ef4ed42cd69614,28.926878749537300000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xa4036d9c5d1c5edb323cedc88699e8241a3773bd,27.51498925023970000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xf43f5be06615a0303c8cff19e38cc1fe0f0ebbc3,22.698792565668700000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xbed58e0dcbc4b4ac0a9fce1d2f2804fbb6fe49aa,22.6838414,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x65bc72f5e5daefe930f1b468fc73ec96b0228956,19.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x9c2fa2cddea1c0a612049728d4af9ba20fe58630,17.428487589893900000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xd161099739c555b6d3d5e565cd55c470ee430f0e,16.77351213143630000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xd89c07d7abbf83e4bac5907567c8cc1b32491450,12.833626055653400000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xbdb4cb303a4e288110d57e9b25ad96242b5f1b9d,12.601254247781500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xbf3cd4e28ced7f61c588693c018f4f38b4b0444e,11.6494124,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xc0ec851c663f97399cc749ebe798c9153b0dbb4b,11.0000728,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xacdceb490c614fa827c4f20710ee38e6b27d0eb2,10.256446,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x55fd2a393793cdb546fe0ab1fdc37df8f61520f4,10.136510683722700000,0.0,0.0,0.0,10.136510683722700000,0.0,0.0,0.0
0xb5ee4f9dfcab6198dee8b013a74c951a44b8d78d,10.033325037646300000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x52ff0010d4058bb726725ad76f542c53033d67a1,9.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x627e46f5922b5601ada533cb229c519103537c28,9.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xad382901be4c94467fefbf32e0764cd977b67344,9.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x593bb3859dd0d244e94e233745a2542c732e1fe3,9.8310598,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xf4ce1da492110616024d401f8c659ff395851726,8.673608828544470000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x9d52de02cdc6eac4245b5a838b6e776fe1f1d312,8.275479797979800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x45aecad3551f5c628e07a2a2b190bce2229fde5a,6.965,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x96451702bfe9ec3c5718402c99e69ed5776c4b37,6.296440755957810000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xb1f5dd6746151c73047838694c04b31494511c2c,6.2500706,0.0,0.0,0.0,0.0,0.0,0.0,0.0
